abfragefenster;query window
promotheus;program for a european traffic with highest efficiency and unprecedented safety
proprietaer;proprietary
protokoll;protocol
protokollierung;logging
prozedur;procedure
prozess;process
prozessfarben;process colours
prozessmodell;process model
prozessor;processor
pruefausdruck;check plot
pseudocode;pseudo code
pseudofarbbild;pseudo colour image
pseudoskopische betrachtung;pseudoscopic view
puffer;buffer
puffern;buffering
pufferzone;buffer zone
punkt;point
punkt der bildmessung;point of image measurement
punktauftragung;plotting of points
punktbestimmung;point determination
punktdatei;point file
punktdichte;point density
punktdigitalisierung;point digitising
punktmodus;point mode
punktuebertragung;point transfer
punktuebertragungsgeraet;point transfer device
punktverteilung bei der gelaendeaufnahme;point distribution in the terrain
pyknophylaktische interpolation;pycnophylactical interpolation
quadrant;quadrangle
quadratmeter;square metre
quadratnetz;quadratic net
qualifizierter bebauungsplan;qualified development plan
qualitaet;quality
qualitative karten;qualitative map
qualitaetselement;quality element
qualitaetsindikator;quality indicator
qualitaetsmanagement;quality management
qualitaetsmass;quality measure
qualitaetsnorm;quality norm
qualitaetsparameter;quality parameter
qualitaetsschema;quality schema
quantisierungsfehler;quantisation error
quantisierungsintervall;quantisation interval
quantisierungsrauschen;quantisation noise
quantitative karten;quantitative maps
quasigeoid;quasi geoid
quellcode;source code
quelldatei;source file
quellenangabe;source
quellenkarten;source map
quergefaelle;cross fall
querneigung;cross slope
querueberdeckung;cross overlapping
radarantenne;radar antenna
radarbild;radar image
radargleichung;radar equation
radarschatten;radar shadow
radiale versetzung;radial shift
radiant;radiant
radiofunkidentifizierung;rfid
radiometer;radiometer
radiometrische aufloesung;radiometric resolution
radiometrische bildtransformation;radiometric transformation
radius;radius
radix;radix
rahmen;frame
rahmenkarte;frame map
rahmenmarke;fiducial mark
rahmenmarke;fiducial mark
rahmenplanung;framework planning
randanpassung;edge matching
randblatt;border sheet of map
randdarstellung;boundary representation
raster;raster
rasterband;raster band
rasterbild;raster image
rasterdatei;raster file
rasterdaten;raster data
rasterdatenbank;raster database
rasterdatenformate;raster data formats
rasterdatenmodell;raster data model
rasterdatenvorverarbeitung;raster data preprocessing
rasterdisplay;raster display
rastereinfangmechanismus;raster snap
rasterertrag;raster yield
rasterformat;raster format
rastergraphik;raster graphics
rasterhintergrund;raster background
rasterisierung;rasterisation
rasterkarte;grid map
rasterkarte;raster map
rasterobjekt;raster object
rasterplotter;raster plotter
rasterstruktur;raster structure
rastertechnologie;raster technology
rastervordergrund;raster foreground
rastervorverarbeitung;raster preprocessing
rasterzelleneinteilung;raster cell partitioning
raum;space
raumanalyse;spatial analysis
raumbezogene informationswissenschaft;geographic information science
raumbezogener zugriff;spatial access
raumbezogenes elementarobjekt;reo
raumbezogenes schema;spatial schemata
raumbezug;spatial reference
raumbild;stereo image
raumbildkarte;stereo image map
raumbuch;room book
rauminformation;spatial information
rauminformationssystem;spatial information system
raumkoordinaten;spatial coordinates
raeumliche abfrage;spatial query
raeumliche abfragesprache;geographic query language
raeumliche aerotriangulation;spatial aerotriangulation
raeumliche analyse;spatial analysis
raeumliche aufloesung;spatial resolution
raeumliche genauigkeit;spatial accuracy
raeumliche messmarke;spatial floating mark
raeumliche ressourcenplanung;spatial resource planning
raeumliche unternehmensweite resourcenplanung;spatial enterprise ressource planning
raeumlicher index;spatial index
raeumlicher server;spatial server
raeumlicher verweis;spatial reference
raeumliches bezugssystem;spatial reference system
raeumliches datenschnueffeln;spatial data mining
raeumliches entscheidungsunterstuetzungssystem;spatial decision support system
raeumliches modell;spatial model
raumordnungsbericht;report of the federal government on regional policy
raumordnungskataster;cadastre for regional planning
raumordnungsverfahren;scheme of regional planning
raumplanung;regional planning
raumsegment;space segment
rauschen;noise
realisierung;realisation
realteilung;subdivision of lots due to code napoleon
rechenanlage;computer
rechner;computer
rechneranimation;computer animation
rechnerbasiertes training;computer based training
rechnererzeugte bilder;computer generated images
rechnergestuetzte kartierung;computer aided mapping
rechnergestuetzte produktion;computer aided manufacturing
rechnergestuetzte softwareentwicklung;computer aided software engineering
rechnergestuetztes softwaretesten;computer aided software testing
rechnergestuetztes zeichnen und entwerfen;computer aided design
rechnerinfrastruktur;computer infrastructure
rechnerische auswertung;computer processing
rechnerische bildinterpretation;computerised image interpretation
rechtswert;easting
reduktion;reduction
redundanz;redundancy
referentielle integritaet;referential integrity
referenzdaten;reference data
referenzellipsoid;reference ellipsoid
referenzpunkt;reference point
referenzstation;reference station
reflexion;reflection
reflexionsgrad;degree of reflection
regelwerk;framework
region;region
region;face
regionalisierte variable;regionalised variable
regionalplan;regional plan
regionalstruktur;regional structure
regionenwachstum;region growing
registrierung;registration
registry;register
regression;regression
regressionsgerade;regression straight line
rektifikation;rectification
rekursion;recursion
relational;relational
relationale datenbank;relational database
relationales modell;relational model
relationenalgebra;relational algebra
relative entzerrung;relative image registration
relative genauigkeit;relative accuracy
relative koordinate;relative coordinates
relative orientierung;relative orientation
relative positionsgenauigkeit;relative positional accuracy
relativmessung;relative measurement
relief;relief
reliefdiversitaet;relief diversity
reliefenergie;intensity of relief
rentabilitaetsrechnung;rentability computations
ressource;resource
richtungswinkel;grid bearing
ring;ring
ringtopologie;ring topology
risikoanalyse;risk analysis
rohdaten;raw data
rollen;scrollen
rotation;rotation
rotationsflaeche;surface of revolution
rotationslaser;rotation laser
routenfuehrung;route guidance
routenplanung;routing
rueckgrat;backbone
rueckwaertseinschneiden;resection
sachdatenabfragen;query on attributes
sachsatz;attribute set
sammelmethode;sampling
sammlung;acquiring
satellit;satellite
satellitenbild;satellite image
satellitenbildkarte;satellite image map
satellitenfernerkundungssensoren;satellite based remote sensing sensors
satellitengeodaesie;satellite geodesy
satellitenkamera;satellite camera
satellitenphotogrammetrie;satellite photogrammetry
satellitenscanner;satellite scanner
saettigung;saturation
saeulendiagramm;column diagram
scanfrequenz;scan rate
schablone;template
schalter;switch
schattenschraffen;shading hachures
schattierung;shading
schaetzungskarte;soil evaluation map
schaetzungsrahmen;scheme of soil evaluation
schemaplaene;schema plans
schicht;layer
schluessel;key
schluesseldatei;key file
schnittpunkt;intersection
schnittstelle;interface
schnittstelle;port
schnittstelle;interface
schnittstellenformat;interface format
schnittstellenspezifikation;interface specification
schraffen;hachures
schraffur;hatching
schreibdichte;writing density
schreiben;writing
schreibschutz;write protection
schrift in topographischen karten;lettering in topographic maps
schriftfreistellung;background removal for lettering
schriftgroessen;gauges
schriftmuster;lettering specimens
schriftvorlage;lettering model
schummern;shading
schutzgebiet;protection area
schwadbreite;swath width
schwellwert;threshold value
schwellwert;threshold
schwerenetz;gravity net
schwerkraft;gravity
schwerpunkt;centroid
seekartennull;nautical chart datum
seekartennull;sounding datum
seekartenwerk;nautical chartwork
seekartographie;hydrographic charting
seevermessung;hydrographic survey
segment;segment
segmentierung;segmentation
seite;page
selektive verfuegbarkeit;selective availability
semantik;semantics
semantische genauigkeit;semantical accuracy
semantische netze;semantic network
semantische uebereinstimmung;semantical fitting
semivariogramm;semi variogram
senke;depression
senkrechtaufnahme;normal case
sensitive karte;clickable maps
sensitives element;sensitive element
sensor;sensor
sensor der fernerkundung;remote sensing sensor
serverdatenbank;server data base
sicherheitskonzept;security concept
sicherung;backup
sicht;view
sichtbares licht;visible light
siedlung;urban agglomeration
siedlung;inhabited area
siedlung;dwelling
siedlung;settlement
siedlung;inhabited place
ortschaft;urban agglomeration
ortschaft;inhabited area
ortschaft;dwelling
ortschaft;settlement
ortschaft;inhabited place
signal;signal
signalisierter verknuepfungspunkt;signalized tie point
signalisierung;signalization
signatur;signature
simulation;simulation
situationsbezogene informationsverarbeitung;situation aware computing
skalare groesse;scalar value
skalen;scales
skalentransformation;scale transformation
skalierbar;scalable
skalierung;scaling
skriptsprache;script language
softwareverteilung;softwaredistribution
sollzustand;nominal state
sonderkarte;special map
sortieren;sorting
spalte;column
spalte;gap
speicherbusse;storage busses
speichermedium;disk
spektral;spectral
spektralbereiche;spectral regions
spektrale aufloesung;spectral resolution
spektrale empfindlichkeit;spectral sensitivity
spektrale reflexionskurve;spectral reflectance curves
spektrale strahlungstemperatur;spectral radiation temperature
sperren;locking
sphaerische geometrie;spherical geometry
sphaerische koordinaten;spherical coordinates
sphaeroid;spheroid
spiegelstereoskop;mirror stereoscope
spline;spline
splitterpolygon;sliver polygon
spracherkennung;voice recognition
sprungbefehl;go to instruction
spur;track
spurfuehrung;tracking control
stabdiagramm;column diagram
stabilisierte aufhaengung;stabilized mounting
staedtebauliche entwicklungsmassnahme;urban development plans
staedtebaulicher plan;urban area development plan
staedtebauliches entwicklungsverfahren;urban development procedure
stadtentwicklungsplan;urban area development plan
stadtkartographie;town mapping
stadtvermessung;town surveying
standard;standard
standardabweichung;standard deviation
standorteignungsanalyse;site suitablity analysis
standortkarten;site maps
stapelverarbeitung;batch processing
startseite;homepage
stationaritaet;stationarity
stationierung;stationing
statische speicher;statical storage
statische vermessung;static survey
statistik;statistics
steckplatz;slot
steigung;slope
stereoauswertegeraet;stereo restitution device
stereobild;stereo image
stereobildmessung;stereo image measurements
stereobildpaar;stereo image pair
stereobrille;stereo glasses
stereoeffekt;stereo effect
stereokomparator;stereo comparator
stereomesskamera;stereo camera
stereometer;stereometer
stereometrie;stereometry
stereomodell;stereo model
stereopartner;stereo partner
stereophotogrammetrie;stereo photogrammetry
stereoskop;stereoscope
stereoskopie;stereoscopy
stereoskopischer plotter;stereoscopic plotter
stereoskopisches sehen;stereoscopic vision
steuereinheit;control unit
steuerknueppel;joystick
steuerungseinheit;controller
steuerzeichen;control character
stichprobe;sample
stochastische simulation;stochastic simulation
strahl;beam
strahlung;radiation
strahlverfolgung;raytracing
strassen;roads
strassen;routes
strassen;streets
strassen;courts
strassendaten;road data
strassenkataster;road cadastre
strategische planung;strategic planning
strecke;distance
streckenmessung;distance measurement
streuungsmasse;dispersion measures
stromachse;river axis
stromachse;stream axis
stromkilometrierung;kilometre marking of a river
stroemungsanalyse;flow analysis
stromversorgung;power supply
struktogramm;structogram
strukturierte verkabelung;structured cable
strukturinformation;structure information
subtraktion;subtraction
subtraktive farbmischung;subtractive primary colours
suchmaschine;search engine
suchnetz;search net
symbol;icon
symbol;symbol
synchronisation;synchronisation
synoptische themakarte;thematic map of synoptic representation
syntax;syntax
synthese;synthesis
synthetische karte;thematic map of synthetic representation
system;system
systemanalyse;system analysis
systemauswahl;system selection
systemkonfiguration;system configuration
systemprogramm;system program
systemsoftware;system software
systemtest;system test
systemvergleich;system comparison
systemwechsel;system change
szene;scene
tabelle;table
tachymeter;tacheometer
tachymeteraufnahme;tacheometric survey
tachymeterformeln;formulae for tacheometric reductions
tachymeterzug;tacheometer traverse
tachymetrie;tacheometry
tachymetrische gelaendeaufnahme;tacheometric survey
technische spezifikationen;technical specifications
technisches rathaus;technical town hall
teilmesskamera;partial photogrammetric camera
teilschlagbezogene landwirtschaft;precision farming
telematik;telematics
telemetrie;telemetry
terminalprogramm;terminal program
terrestrische kammer;terrestrial camera
terrestrische ortsbestimmung;terrestrial position determination
terrestrische photogrammetrie;terrestrial photogrammetry
terrestrisches bild;terrestrial image
terrestrisches laserscanning;terrestrical laserscanning
tesselation;tesselation
texteditor;text editor
textenvelope;text envelope
texterkennung;text recognition
textplatzierung;lettering
textposition;text position
textrechteck;text rectangle
textur;texture
texturbelegung;texture mapping
textverarbeitung;text processing
thema;theme
thematische ebene;thematic layer
thematische karte;thematic map
thematische kartographie;thematic cartography
thematisches modell;thematic model
thematisches modellieren;thematic modelling
theodolit;theodolite
theoretische kartographie;theoretical cartography
thermalbild;thermal image
thermalscanner;thermal scanner
thermodrucker;thermo printer
thermogramm;thermogram
thermographie;thermography
tiefbau;underground construction engineering
toleranz;tolerance
toleranzband;epsilon band
tonspurinhalt;soundtrack
topogramm;topogram
topographie;topography
topographische aufnahme;topographic survey
topographische auswertung von luftbildern;topographic evaluation of aerial imagery
topographische datenbank;topographic database
topographische gelaendeaufnahme;topographic survey
topographische karte;topographic map
topographische kartenwerke;topographic map series
topographische kartographie;topographic cartography
topographische landesaufnahme;topographic surveying
topographische uebersichtskarte;topographic overview map
topographische vermessung;topographic surveying
topographischer meldedienst;topographic information service
topograpisches merkblatt;topographic message sheet
topologie;topology
topologische eigenschaften;topological properties
topologische grundform;topological base form
topologische operatoren;topological operators
topologische uebereinstimmung;topological fitting
topologisches modellieren;topologic modelling
topologisches subsystem;topologic subsystem
transaktion;transaction
transaktionsdatenbanken;transaction database
transaktionskontrolle;transaction control
transaktionskonzept;transaction concept
transferformat;transfer format
transformation;transformation
transformieren;transforming
transitives variogramm;transitive variogram
translation;translation
transmission;transmission
transparent;transparent
transversale lage der abbildungsflaeche;transversal position of the projection plane
treffer;hit
triangulation;triangulation
triangulationsnetz;triangulation network
trigonometrische hoehenmessung;trigonometric levelling
trigonometrischer punkt;trigonometric point
trilateration;trilateration
uebereinstimmend;coterminous
uebergangspunkt;crossover point
ueberlappung;overlap
ueberlauf;overflow
uebersetzer;compiler
uebersetzung;compilation
uebersichtskarte;overview map
uebersichtsplan;overview plan
ueberstand;overshoot
uebertragung;transfer
uebertragungsgeschwindigkeit;transfer speed
uebertragungsschema;transfer scheme
ueberwachte klassifizierung;supervised classification
ueberweitwinkelkamera;super wide angle camera
uhren offset;clock offset
ultraviolett;ultraviolet
umbildung;transformation
umgebungsvariable;environment variable
umklappung;lay over
umlaufbahn;orbit
umlegungsgebiet;reallotment area
umlegungskarte;reallotment map
umlegungsplan;reallotment plan
umlegungsverzeichnis;reallotment directory
umrechnung;resampling
umsetzer;converter
umwandlung;conversion
umwandlungstabelle;lookup table
umweltdatenkatalog;environmental data catalogue
umweltinformationsgesetz;environmental information law
unschaerfe;fuzzy
unscharfe menge;fuzzy set
unsichtbare linie;invisible line
unterbrechung;interrupt
unternehmensserver;enterprise server
unterprogramm;routine
unueberwachte klassifizierung;unsupervised classification
urkarte;base map
ursprung;origin
variable;variable
vegetation;vegetation
vegetationsflaeche;vegetation area
vektor;vector
vektordaten;vector data
vektordatenmodell;vector data model
vektorgraphik;vector graphics
vektorgraphikstruktur;vector graphic structure
verbreitungskarten;distribution maps
verdeckte linien;hidden lines
verdichtung;densify
vereinbartes trennzeichen;delimiter
vereinfachung;simplification
vererbung;inheritance
vergleichspunkt;point for comparison
verkehrswert;market value
verknuepfungspunkt;tie point
verkuerzung;foreshortening
vermarkung;marking
vermarken;mark
vermessung;surveying
vermessungskunde;surveying
vermessungsnachweis;surveying results
vermessungspunkt;survey point
vermessungstechnik;surveying techniques
vermittelnde abbildung;arbitrary projection
verschluesselung;kryptographie
verschluesselung;encoding
verschmelzung;conflation
verschneidung;overlay
versiegelte flaeche;covered area
versiegelte flaeche;sealed area
versorgungsanlage;supply facilities
versorgungseinrichtungen;supply arrangements
vertex;vertices
vertiefung;pit
vertikaler abstand;vertical distance
vertikales datum;vertical datum
vertikalwinkel;vertical angle
vertragskataster;cadastre of existing contracts
vertragswerk;contract work
vertrauensmass;confidence measure
verwaltungsakt;administrative contract
verwaltungsgliederung;thematic representation of administrative borders
verzeichnis;directory
verzeichnisdienst;directory service
verzeichnung;distortion
verzeichnungskurve;distortion curves
verzerrung;distortion
virtuell;virtual
virtueller speicher;virtual storage
visualisierung;visualisation
visualisierungssysteme;visualisation system
visuelle bildinterpretation;visual image interpretation
visuelle bildzuordnung;visual image matching
vollbild;full image
volumen;volume
volumenelement;voxel
volumenmessung;volume measurements
volumenmodell;volume model
volumenstreuung;volume scattering
vorverarbeitung;preprocessing
vorwaertseinschneiden;intersection
wahrscheinlichkeit;probability
wahrscheinlichkeitsverteilungsfunktion;probability distribution function
warteschlange;queue
wartung;maintenance
wasserbau;hydraulic engineering
wasserflaeche;water area
wasserlinienverfahren;water line method
wasseroberflaeche;water surface
wasserrahmenrichtlinie;water framework directive
wasserscheide;watershed
wasserscheidenanalysesystem;watershed analysis system
wasserschutzgebiete;water protected area
wasserspiegel;water surface
wasserstand;water level
wassertiefe;water depth
wasserversorgung;water supply
wasserversorgungsunternehmen;water supply companies
wasserwirtschaft;water management
wasserwirtschaftliche rahmenplanung;water resources framework planning
weitwinkelkamera;wide angle camera
weltweites netz;world wide web
wertebereich;domain
wertezuweisung mittels naechstem nachbarn;nearest neighbor sampling
winkel;angle
winkeleinheit;angle unit
winkeltreue abbildung;conformal projection
winkelverzerrung;angular distortion
wirtschaftlichkeitsberechnung;rentability calculations
wirtschaftsinformatik;business informatics
wirtschaftswege;farm roads
zahlensystem;numbering system
zeichen;character
zeichen;character
zeichendichte;character density
zeichenerklaerung;legend
zeichenkette;string
zeichensatz;character set
zeichenvorrat;character set
zeichenvorschrift;drawing rules
zeiger;pointer
zeigergeraet;puck
zeile;line
zeitimpuls;clock pulse
zeitzone;time zone
zenit;zenith
zenitwinkel;zenith distance
zentralisation;centralization
zentralisierte datenbanken;centralized data bases
zentralitaet;centrality
zentralprojektion;central projection
zentralpunkt;initial point
zentroid;centroid
zertifizierung;certification
zufaelliger fehler;random error
zugaenglichkeit;accessibility
zugangskontrolle;authorization control
zugeordnete daten;associated data
zugriff;access
zugriffskontrolle;access control
zugriffsrecht;access rights
zugriffszeit;access time
zusaetzliche parameter;additional parameters
zuteilung;allocation
zuverlaessigkeit;reliability
zweibildphotogrammetrie;stereo photogrammetry
zwischenpunkte;intermediate points
zylinderabbildung;cylindrical projection
